     20 155
     19 156
     19 157
     15 158
     18 159
     21 160
     23 161
     28 162
     20 163
     24 164
     10 165
     16 166
     18 167
     19 168
     11 169
     15 170
     24 171
     23 172
     32 173
     19 174
     29 175
     18 176
     18 177
     29 178
     17 179
     23 180
     32 181
     15 182
     14 183
     15 184
     19 185
     15 186
     10 187
     21 188
     13 189
     19 190
     18 191
     23 192
     20 193
     12 194
     17 195
     15 196
     17 197
     24 198
     18 199
     17 200
     29 201
     22 202
     21 203
     28 204
     18 205
